Drug1,Drug2,Cell line,label
5-Fluorouracil,SRA737,769-P,0
5-Fluorouracil,SRA737,8305C,0
5-Fluorouracil,SRA737,ACHN,0
5-Fluorouracil,SRA737,BT-549,1
5-Fluorouracil,SRA737,C32,0
5-Fluorouracil,SRA737,CAL-148,1
5-Fluorouracil,SRA737,CAMA-1,1
5-Fluorouracil,SRA737,CCK-81,0
5-Fluorouracil,SRA737,CCRF-CEM,1
5-Fluorouracil,SRA737,COLO-680N,1
5-Fluorouracil,SRA737,COR-L279,1
5-Fluorouracil,SRA737,COR-L95,0
5-Fluorouracil,SRA737,DB,0
5-Fluorouracil,SRA737,DND-41,1
5-Fluorouracil,SRA737,DU-145,1
5-Fluorouracil,SRA737,EN,0
5-Fluorouracil,SRA737,ESS-1,0
5-Fluorouracil,SRA737,FU-OV-1,0
5-Fluorouracil,SRA737,GI-1,0
5-Fluorouracil,SRA737,HCC-44,1
5-Fluorouracil,SRA737,HCC-78,1
5-Fluorouracil,SRA737,HCC70,1
5-Fluorouracil,SRA737,HCT-116,1
5-Fluorouracil,SRA737,HDLM-2,1
5-Fluorouracil,SRA737,HPAF-II,1
5-Fluorouracil,SRA737,HT-1376,0
5-Fluorouracil,SRA737,HT-29,1
5-Fluorouracil,SRA737,IGR-37,0
5-Fluorouracil,SRA737,JHH-2,1
5-Fluorouracil,SRA737,JHH-7,1
5-Fluorouracil,SRA737,KARPAS-299,1
5-Fluorouracil,SRA737,KARPAS-620,1
5-Fluorouracil,SRA737,KELLY,1
5-Fluorouracil,SRA737,KP-3,1
5-Fluorouracil,SRA737,KP-N-YN,0
5-Fluorouracil,SRA737,KS-1,0
5-Fluorouracil,SRA737,KYM-1,0
5-Fluorouracil,SRA737,KYSE-270,1
5-Fluorouracil,SRA737,KYSE-450,0
5-Fluorouracil,SRA737,L-540,0
5-Fluorouracil,SRA737,LAMA-84,0
5-Fluorouracil,SRA737,LCLC-103H,1
5-Fluorouracil,SRA737,MDA-MB-157,1
5-Fluorouracil,SRA737,MDA-MB-175-VII,0
5-Fluorouracil,SRA737,MDA-MB-231,0
5-Fluorouracil,SRA737,MDA-MB-453,1
5-Fluorouracil,SRA737,ME-1,0
5-Fluorouracil,SRA737,MEG-01,0
5-Fluorouracil,SRA737,MHH-ES-1,1
5-Fluorouracil,SRA737,MKN1,1
5-Fluorouracil,SRA737,MOLT-4,1
5-Fluorouracil,SRA737,MV-4-11,1
5-Fluorouracil,SRA737,NALM-6,1
5-Fluorouracil,SRA737,NAMALWA,1
5-Fluorouracil,SRA737,NCI-H1648,0
5-Fluorouracil,SRA737,NCI-H1651,0
5-Fluorouracil,SRA737,NCI-H1666,0
5-Fluorouracil,SRA737,NCI-H1792,1
5-Fluorouracil,SRA737,NCI-H2009,1
5-Fluorouracil,SRA737,NCI-H2023,1
5-Fluorouracil,SRA737,NCI-H211,1
5-Fluorouracil,SRA737,NCI-H226,0
5-Fluorouracil,SRA737,NCI-H2342,0
5-Fluorouracil,SRA737,NCI-H358,0
5-Fluorouracil,SRA737,NCI-H522,0
5-Fluorouracil,SRA737,NCI-H524,1
5-Fluorouracil,SRA737,NCI-H727,1
5-Fluorouracil,SRA737,NCI-H810,0
5-Fluorouracil,SRA737,NCI-H82,0
5-Fluorouracil,SRA737,NCI-N87,1
5-Fluorouracil,SRA737,OCI-AML2,1
5-Fluorouracil,SRA737,OCI-AML3,1
5-Fluorouracil,SRA737,OPM-2,1
5-Fluorouracil,SRA737,OV-90,0
5-Fluorouracil,SRA737,OVKATE,0
5-Fluorouracil,SRA737,RKN,0
5-Fluorouracil,SRA737,RKO,1
5-Fluorouracil,SRA737,RMG-I,0
5-Fluorouracil,SRA737,SCC-4,1
5-Fluorouracil,SRA737,SCC-9,1
5-Fluorouracil,SRA737,SF539,1
5-Fluorouracil,SRA737,SJSA-1,1
5-Fluorouracil,SRA737,SK-CO-1,1
5-Fluorouracil,SRA737,SK-HEP-1,0
5-Fluorouracil,SRA737,SK-MEL-2,0
5-Fluorouracil,SRA737,SK-MM-2,0
5-Fluorouracil,SRA737,SK-N-AS,0
5-Fluorouracil,SRA737,SK-OV-3,0
5-Fluorouracil,SRA737,SN12C,0
5-Fluorouracil,SRA737,SNU-16,1
5-Fluorouracil,SRA737,SNU-C1,1
5-Fluorouracil,SRA737,ST486,1
5-Fluorouracil,SRA737,SU-DHL-6,1
5-Fluorouracil,SRA737,SW1417,1
5-Fluorouracil,SRA737,SW48,0
5-Fluorouracil,SRA737,SW620,0
5-Fluorouracil,SRA737,T98G,0
5-Fluorouracil,SRA737,TE-5,1
5-Fluorouracil,SRA737,TE-9,1
5-Fluorouracil,SRA737,UACC-62,0
5-Fluorouracil,SRA737,UACC-812,1
5-Fluorouracil,SRA737,VCaP,0
5-Fluorouracil,SRA737,YAPC,1
5-Fluorouracil,SRA737,YH-13,1
5-Fluorouracil,SRA737,ZR-75-30,0
AZD0156,AZD1775,639-V,0
AZD0156,AZD1775,647-V,1
AZD0156,AZD1775,697,1
AZD0156,AZD1775,8305C,1
AZD0156,AZD1775,8505C,0
AZD0156,AZD1775,A101D,0
AZD0156,AZD1775,A498,0
AZD0156,AZD1775,A549,0
AZD0156,AZD1775,ACHN,1
AZD0156,AZD1775,AM-38,1
AZD0156,AZD1775,AMO-1,1
AZD0156,AZD1775,B-CPAP,0
AZD0156,AZD1775,BT-20,0
AZD0156,AZD1775,BT-474,0
AZD0156,AZD1775,BT-549,0
AZD0156,AZD1775,C2BBe1,1
AZD0156,AZD1775,C32,0
AZD0156,AZD1775,CA46,0
AZD0156,AZD1775,CAL-148,0
AZD0156,AZD1775,CAL-29,0
AZD0156,AZD1775,CAL-33,0
AZD0156,AZD1775,CAL-78,0
AZD0156,AZD1775,CAL-85-1,0
AZD0156,AZD1775,CAMA-1,0
AZD0156,AZD1775,CFPAC-1,0
AZD0156,AZD1775,CHP-212,0
AZD0156,AZD1775,CL-11,0
AZD0156,AZD1775,COLO-679,0
AZD0156,AZD1775,COLO-680N,0
AZD0156,AZD1775,COR-L105,0
AZD0156,AZD1775,COR-L311,0
AZD0156,AZD1775,COR-L95,0
AZD0156,AZD1775,CW-2,0
AZD0156,AZD1775,Caov-3,0
AZD0156,AZD1775,Caov-4,1
AZD0156,AZD1775,DBTRG-05MG,0
AZD0156,AZD1775,Daudi,0
AZD0156,AZD1775,EBC-1,0
AZD0156,AZD1775,ECC10,0
AZD0156,AZD1775,EJM,0
AZD0156,AZD1775,EKVX,0
AZD0156,AZD1775,EM-2,0
AZD0156,AZD1775,ESS-1,0
AZD0156,AZD1775,FTC-133,0
AZD0156,AZD1775,G-361,0
AZD0156,AZD1775,GA-10,1
AZD0156,AZD1775,GAMG,0
AZD0156,AZD1775,GB-1,0
AZD0156,AZD1775,GDM-1,0
AZD0156,AZD1775,GI-1,0
AZD0156,AZD1775,GRANTA-519,0
AZD0156,AZD1775,HCC-78,1
AZD0156,AZD1775,HCC1143,0
AZD0156,AZD1775,HCC1187,0
AZD0156,AZD1775,HCC1428,0
AZD0156,AZD1775,HCC1500,1
AZD0156,AZD1775,HCC1806,0
AZD0156,AZD1775,HCC2157,0
AZD0156,AZD1775,HCC38,0
AZD0156,AZD1775,HCC70,0
AZD0156,AZD1775,HDQ-P1,1
AZD0156,AZD1775,HGC-27,1
AZD0156,AZD1775,HH,0
AZD0156,AZD1775,HOP-92,0
AZD0156,AZD1775,HOS,0
AZD0156,AZD1775,HPAC,0
AZD0156,AZD1775,HSC-4,0
AZD0156,AZD1775,HT-1080,0
AZD0156,AZD1775,HT-1197,0
AZD0156,AZD1775,HT-29,0
AZD0156,AZD1775,HT55,0
AZD0156,AZD1775,HeLa,0
AZD0156,AZD1775,IGR-1,0
AZD0156,AZD1775,IGR-37,0
AZD0156,AZD1775,IST-MES1,0
AZD0156,AZD1775,JHH-7,0
AZD0156,AZD1775,JIMT-1,0
AZD0156,AZD1775,JJN-3,0
AZD0156,AZD1775,K-562,0
AZD0156,AZD1775,KALS-1,1
AZD0156,AZD1775,KARPAS-299,1
AZD0156,AZD1775,KE-37,1
AZD0156,AZD1775,KG-1,0
AZD0156,AZD1775,KLE,1
AZD0156,AZD1775,KMRC-1,0
AZD0156,AZD1775,KMRC-20,0
AZD0156,AZD1775,KMS-12-BM,1
AZD0156,AZD1775,KP-2,0
AZD0156,AZD1775,KP-3,0
AZD0156,AZD1775,KS-1,0
AZD0156,AZD1775,KYSE-150,0
AZD0156,AZD1775,KYSE-180,0
AZD0156,AZD1775,KYSE-270,1
AZD0156,AZD1775,KYSE-520,0
AZD0156,AZD1775,KYSE-70,0
AZD0156,AZD1775,L-1236,0
AZD0156,AZD1775,L-540,1
AZD0156,AZD1775,LAMA-84,0
AZD0156,AZD1775,LCLC-97TM1,0
AZD0156,AZD1775,LN-229,0
AZD0156,AZD1775,LOU-NH91,0
AZD0156,AZD1775,LXF-289,1
AZD0156,AZD1775,MDA-MB-157,0
AZD0156,AZD1775,MDA-MB-175-VII,0
AZD0156,AZD1775,MDA-MB-231,0
AZD0156,AZD1775,MDA-MB-453,0
AZD0156,AZD1775,MDA-MB-468,0
AZD0156,AZD1775,MDST8,0
AZD0156,AZD1775,MEL-JUSO,1
AZD0156,AZD1775,MES-SA,1
AZD0156,AZD1775,MFE-280,1
AZD0156,AZD1775,MG-63,0
AZD0156,AZD1775,MHH-ES-1,0
AZD0156,AZD1775,MOLM-13,0
AZD0156,AZD1775,MOLT-16,0
AZD0156,AZD1775,MOLT-4,1
AZD0156,AZD1775,MONO-MAC-6,1
AZD0156,AZD1775,NALM-6,1
AZD0156,AZD1775,NAMALWA,1
AZD0156,AZD1775,NCI-H1048,0
AZD0156,AZD1775,NCI-H1355,0
AZD0156,AZD1775,NCI-H1435,0
AZD0156,AZD1775,NCI-H1563,0
AZD0156,AZD1775,NCI-H1581,0
AZD0156,AZD1775,NCI-H1623,0
AZD0156,AZD1775,NCI-H1648,0
AZD0156,AZD1775,NCI-H1693,0
AZD0156,AZD1775,NCI-H1694,0
AZD0156,AZD1775,NCI-H1703,0
AZD0156,AZD1775,NCI-H1876,1
AZD0156,AZD1775,NCI-H1915,0
AZD0156,AZD1775,NCI-H1944,0
AZD0156,AZD1775,NCI-H1975,1
AZD0156,AZD1775,NCI-H2009,0
AZD0156,AZD1775,NCI-H2023,1
AZD0156,AZD1775,NCI-H2085,0
